execution	cohort	cohort_sort	dependence	dependence_sort	dependence_type	independence	model	model_sort	model_adjustment	model_context	model_note
1	male_bipolar_disorder	1	rapid_cycling	1	logistic	tcw_ukb_estradiol_bioavailable_male_age_middle_unadjust	14	14	unadjust	marginal	unadjust marginal
1	male_bipolar_disorder	1	rapid_cycling	1	logistic	tcw_ukb_estradiol_bioavailable_male_age_high_adjust	15	15	unadjust	marginal	unadjust marginal
1	male_bipolar_disorder	1	rapid_cycling	1	logistic	tcw_ukb_estradiol_bioavailable_male_age_high_unadjust	16	16	unadjust	marginal	unadjust marginal
1	male_bipolar_disorder	1	rapid_cycling	1	logistic	tcw_ukb_estradiol_free_male_adjust	17	17	unadjust	marginal	unadjust marginal
1	male_bipolar_disorder	1	rapid_cycling	1	logistic	tcw_ukb_estradiol_free_male_unadjust	18	18	unadjust	marginal	unadjust marginal
1	male_bipolar_disorder	1	rapid_cycling	1	logistic	tcw_ukb_estradiol_free_male_age_low_adjust	19	19	unadjust	marginal	unadjust marginal
1	male_bipolar_disorder	1	rapid_cycling	1	logistic	tcw_ukb_estradiol_free_male_age_low_unadjust	20	20	unadjust	marginal	unadjust marginal
1	male_bipolar_disorder	1	rapid_cycling	1	logistic	tcw_ukb_estradiol_free_male_age_middle_adjust	21	21	unadjust	marginal	unadjust marginal
1	male_bipolar_disorder	1	rapid_cycling	1	logistic	tcw_ukb_estradiol_free_male_age_middle_unadjust	22	22	unadjust	marginal	unadjust marginal
1	male_bipolar_disorder	1	rapid_cycling	1	logistic	tcw_ukb_estradiol_free_male_age_high_adjust	23	23	unadjust	marginal	unadjust marginal
1	male_bipolar_disorder	1	rapid_cycling	1	logistic	tcw_ukb_estradiol_free_male_age_high_unadjust	24	24	unadjust	marginal	unadjust marginal
1	male_bipolar_disorder	1	rapid_cycling	1	logistic	tcw_ukb_testosterone_male_adjust	25	25	unadjust	marginal	unadjust marginal
1	male_bipolar_disorder	1	rapid_cycling	1	logistic	tcw_ukb_testosterone_male_unadjust	26	26	unadjust	marginal	unadjust marginal
1	male_bipolar_disorder	1	rapid_cycling	1	logistic	tcw_ukb_testosterone_male_age_low_adjust	27	27	unadjust	marginal	unadjust marginal
1	male_bipolar_disorder	1	rapid_cycling	1	logistic	tcw_ukb_testosterone_male_age_low_unadjust	28	28	unadjust	marginal	unadjust marginal
1	male_bipolar_disorder	1	rapid_cycling	1	logistic	tcw_ukb_testosterone_male_age_middle_adjust	29	29	unadjust	marginal	unadjust marginal
1	male_bipolar_disorder	1	rapid_cycling	1	logistic	tcw_ukb_testosterone_male_age_middle_unadjust	30	30	unadjust	marginal	unadjust marginal
1	male_bipolar_disorder	1	rapid_cycling	1	logistic	tcw_ukb_testosterone_male_age_high_adjust	31	31	unadjust	marginal	unadjust marginal
1	male_bipolar_disorder	1	rapid_cycling	1	logistic	tcw_ukb_testosterone_male_age_high_unadjust	32	32	unadjust	marginal	unadjust marginal
1	male_bipolar_disorder	1	rapid_cycling	1	logistic	tcw_ukb_testosterone_bioavailable_male_adjust	33	33	unadjust	marginal	unadjust marginal
1	male_bipolar_disorder	1	rapid_cycling	1	logistic	tcw_ukb_testosterone_bioavailable_male_unadjust	34	34	unadjust	marginal	unadjust marginal
1	male_bipolar_disorder	1	rapid_cycling	1	logistic	tcw_ukb_testosterone_bioavailable_male_age_low_adjust	35	35	unadjust	marginal	unadjust marginal
1	male_bipolar_disorder	1	rapid_cycling	1	logistic	tcw_ukb_testosterone_bioavailable_male_age_low_unadjust	36	36	unadjust	marginal	unadjust marginal
1	male_bipolar_disorder	1	rapid_cycling	1	logistic	tcw_ukb_testosterone_bioavailable_male_age_middle_adjust	37	37	unadjust	marginal	unadjust marginal
